%time,field.x,field.y,field.z,field.qw,field.qx,field.qy,field.qz,field.vx,field.vy,field.vz,field.angx,field.angy,field.angz
1651434030581803770,-0.02319531887769699,-0.0020626590121537447,-0.0707947164773941,0.9998593330383301,-0.0007650624611414969,-0.0005973970401100814,0.0167428907006979,0.00018248149717692286,5.7181925512850285e-05,-0.00036129518412053585,0.0,-0.125,-0.0
1651434030584173408,-0.023196877911686897,-0.002062214305624366,-0.07079512625932693,0.9998589158058167,-0.0008064741850830615,-0.00048796218470670283,0.01677030511200428,0.00010275068780174479,5.021366087021306e-05,-0.0003610465209931135,0.0,-0.125,-0.0
1651434030585640356,-0.02319832146167755,-0.002061876468360424,-0.07079532742500305,0.9998587369918823,-0.0008256288710981607,-0.00043723522685468197,0.016782982274889946,3.6522033042274415e-05,4.453424480743706e-05,-0.0003554847207851708,0.0,-0.125,-0.0
1651434030588024363,-0.02319961041212082,-0.002061598002910614,-0.07079556584358215,0.9998586177825928,-0.000835687795188278,-0.00041067993151955307,0.016789643093943596,-1.6545031030545942e-05,3.3642798371147364e-05,-0.00034985668025910854,0.0,-0.125,-0.0
1651434030589675679,-0.023200776427984238,-0.0020613831002265215,-0.07079576700925827,0.999858558177948,-0.0008408378344029188,-0.0003970865800511092,0.01679305173456669,-5.883064295630902e-05,2.027503251156304e-05,-0.0003426487965043634,0.0,-0.125,-0.0
1651434030593011032,-0.023203512653708458,-0.002059823600575328,-0.07079905271530151,0.9998586177825928,-0.0008611869998276234,-0.00046164708328433335,0.01678531803190708,-0.00017067647422663867,7.167839794419706e-05,-0.00047958895447663963,0.0,-0.125,-0.0
1651434030593756766,-0.02320602908730507,-0.0020584161393344402,-0.07080213725566864,0.9998586773872375,-0.0008718087919987738,-0.0004954437026754022,0.01678127609193325,-0.00025950942654162645,0.00010841326002264395,-0.0005915439105592668,0.0,-0.125,-0.0
1651434030596255635,-0.023208294063806534,-0.0020571723580360413,-0.0708049014210701,0.9998586773872375,-0.0008770949207246304,-0.0005122405127622187,0.01677926629781723,-0.00032795610604807734,0.00013407440565060824,-0.0006780981202609837,0.0,-0.125,-0.0
1651434030597577443,-0.02321013994514942,-0.0020561593119055033,-0.0708070695400238,0.9998587369918823,-0.0008795664762146771,-0.0005199327715672553,0.016778333112597466,-0.000379215955035761,0.0001535457995487377,-0.0007387974765151739,0.0,-0.125,-0.0
1651434030599688001,-0.023208973929286003,-0.002057139528915286,-0.0708070918917656,0.9998584985733032,-0.0008643693872727454,-0.00045025418512523174,0.01679202914237976,-0.00027878148830495775,7.300707511603832e-05,-0.0006853047525510192,0.0,-0.125,-0.0
1651434030601695007,-0.02320781536400318,-0.0020581025164574385,-0.07080699503421783,0.9998584389686584,-0.0008566983742639422,-0.0004150473978370428,0.016798945143818855,-0.00018865564197767526,1.2546129255497362e-06,-0.0006320454995147884,0.0,-0.125,-0.0
1651434030603783736,-0.0232066847383976,-0.0020590191707015038,-0.07080675661563873,0.9998583793640137,-0.0008529394981451333,-0.0003977396117988974,0.016802338883280754,-0.00011026022548321635,-6.024107278790325e-05,-0.0005803045351058245,0.0,-0.125,-0.0
1651434030605712617,-0.02320699207484722,-0.0020595183596014977,-0.0708066076040268,0.9998579621315002,-0.0008660410530865192,-0.00039043399738147855,0.016828596591949463,-0.00010485419625183567,-9.722801769385114e-05,-0.0005365695687942207,0.0,-0.125,-0.0
1651434030608483379,-0.023207277059555054,-0.002060048282146454,-0.0708065778017044,0.9998577237129211,-0.000873007345944643,-0.0003866643237415701,0.016842573881149292,-9.456556290388107e-05,-0.00013443196075968444,-0.000494586129207164,0.0,-0.125,-0.0
1651434030609943616,-0.023207437247037888,-0.002060455037280917,-0.07080617547035217,0.9998576045036316,-0.0008760931668803096,-0.00038476806366816163,0.0168487336486578,-8.6682710389141e-05,-0.0001593145716469735,-0.0004521374648902565,0.0,-0.125,-0.0
1651434030611717512,-0.02320428006350994,-0.00205968227237463,-0.07080809772014618,0.9998580813407898,-0.000875619298312813,-0.0004917635233141482,0.01681486703455448,7.53551721572876e-05,-0.00012850508210249245,-0.0005166003829799592,0.0,-0.125,-0.0
1651434030613967382,-0.02319970726966858,-0.0020602981094270945,-0.07080300897359848,0.9998581409454346,-0.0008093756041489542,-0.0004894536687061191,0.016818074509501457,0.0002889593888539821,-0.00016522426449228078,-0.0002482104755472392,0.0,-0.125,-0.0
1651434030616502638,-0.023195650428533554,-0.002060824539512396,-0.07079830020666122,0.9998581409454346,-0.0007774674450047314,-0.0004882351204287261,0.01681962050497532,0.0004605019639711827,-0.00019364306353963912,-2.4942215532064438e-05,0.0,-0.125,-0.0
1651434030617913119,-0.023194197565317154,-0.002062681596726179,-0.07079555094242096,0.9998577833175659,-0.000841079163365066,-0.00047762494068592787,0.016836442053318024,0.0004950942238792777,-0.0002811610756907612,8.823026291793212e-05,0.0,-0.125,-0.0
1651434030620245438,-0.023192867636680603,-0.0020644066389650106,-0.0707930251955986,0.9998576045036316,-0.0008732410497032106,-0.00046935718273743987,0.01684621162712574,0.0005387914716266096,-0.0003535464347805828,0.00019921404600609094,0.0625,0.1875,0.125
1651434030621929988,-0.023192914202809334,-0.0020643603056669235,-0.07079077512025833,0.9998576045036316,-0.0008598269778303802,-0.0005408413126133382,0.01684454269707203,0.0005143174785189331,-0.0003369279147591442,0.00028680291143245995,0.0625,0.1875,0.125
1651434030623749790,-0.023193102329969406,-0.0020641961600631475,-0.07078887522220612,0.9998576045036316,-0.0008554997621104121,-0.0005752769066020846,0.016843151301145554,0.0004872844147030264,-0.0002827059361152351,0.000299358565825969,-0.1875,0.1875,0.0625
1651434030625858735,-0.02319321036338806,-0.002066330285742879,-0.07078511267900467,0.9998577833175659,-0.0008258902234956622,-0.0005033283377997577,0.01683664135634899,0.00046422594459727407,-0.0003345411387272179,0.0003883349127136171,-0.1875,0.1875,0.0625
1651434030627881094,-0.023194221779704094,-0.0020651372615247965,-0.07078610360622406,0.9998583197593689,-0.0008149385103024542,-0.0005283528589643538,0.016802944242954254,0.00040257873479276896,-0.0002306812966708094,0.0002545916649978608,-0.1875,0.1875,0.0625
1651434030629789303,-0.023195168003439903,-0.002063978696241975,-0.07078713923692703,0.9998586177825928,-0.0008094407967291772,-0.0005409080185927451,0.01678604446351528,0.0003497839206829667,-0.0001383680064463988,0.00013180110545363277,-0.1875,0.1875,0.0625
1651434030632135502,-0.023195596411824226,-0.0020640126895159483,-0.07078688591718674,0.9998578429222107,-0.0008480033138766885,-0.00044456584146246314,0.016834234818816185,0.0003247284621465951,-0.00010568708967184648,7.205169094959274e-05,-0.1875,0.1875,0.0625
