TIME	X_REF	Y_REF	Z_REF	QW_REF	QX_REF	QY_REF	QZ_REF	VX_REF	VY_REF	VZ_REF	AVX_REF	AVY_REF	AVZ_REF
0.1175	7.097034674	1.687860395	0.071627391	0.999974592	-0.002424906	0.0033697	0.005710946	0.068206891	-0.022157998	1.017883085	-0.010999087	-0.069993307	0.024052095
0.12	7.097238138	1.687822319	0.074169725	0.999975167	-0.002428076	0.003154544	0.005716205	0.068497679	-0.022086804	1.022835537	-0.002613652	-0.09037142	0.027156529
0.1225	7.097440628	1.687783501	0.076721236	0.999975674	-0.002441129	0.002926876	0.005730766	0.06879099	-0.022025084	1.027614914	0.004929793	-0.110798957	0.030161875
0.125	7.097639732	1.687743419	0.079281689	0.999976107	-0.002468036	0.002690718	0.00575085	0.069080788	-0.021979147	1.032235288	0.011075135	-0.130386866	0.032460576
0.1275	7.097833916	1.687702025	0.081850374	0.999976442	-0.00251737	0.002452437	0.005773643	0.06935797	-0.021964942	1.03670896	0.016429862	-0.150896419	0.033520252
0.13	7.098022153	1.687660031	0.084427868	0.999976658	-0.002592022	0.002222131	0.005796884	0.069606953	-0.021986987	1.04104663	0.019444233	-0.164542301	0.03329788
0.1325	7.09820503	1.687616881	0.087015464	0.999976708	-0.002689893	0.002004638	0.005827384	0.069823253	-0.022041091	1.045255698	0.021640212	-0.174926505	0.033777841
0.135	7.098383837	1.687572443	0.089615402	0.99997659	-0.002797581	0.001803754	0.005869771	0.070004602	-0.022099427	1.049340905	0.02358307	-0.184776247	0.036718395
0.1375	7.098559421	1.68752826	0.092228667	0.999976383	-0.002889992	0.00161116	0.005923778	0.070173792	-0.02210924	1.053302888	0.024339362	-0.191541291	0.040956213
0.14	7.098733377	1.687486211	0.094856157	0.999976205	-0.002945728	0.001410886	0.005982858	0.070369092	-0.022024838	1.057138492	0.023391353	-0.197771363	0.045147758
0.1425	7.098906931	1.687446835	0.097498784	0.999976123	-0.002954157	0.001194428	0.006041427	0.070611765	-0.021823562	1.060843151	0.020118978	-0.204137569	0.046646947
0.145	7.099082126	1.68740907	0.100156408	0.999976156	-0.002920858	0.000954402	0.006092889	0.070919184	-0.021517374	1.06441053	0.013288306	-0.210574115	0.043315797
0.1475	7.099259982	1.687372473	0.102827329	0.999976259	-0.002858118	0.000690384	0.006136543	0.071292329	-0.02113384	1.067834656	0.001574457	-0.217556954	0.036413446
0.15	7.099440252	1.687337284	0.105507681	0.999976336	-0.002786395	0.000404741	0.006176178	0.071724879	-0.02071921	1.071110086	-0.009386081	-0.222073562	0.031207567
0.1525	7.099622466	1.687303517	0.108195516	0.999976305	-0.002721723	0.000100355	0.006216373	0.07220879	-0.020310981	1.074232568	-0.019337547	-0.224946111	0.028590169
0.155	7.099805488	1.687271321	0.110890819	0.999976111	-0.002672828	-0.000216974	0.006261026	0.07272959	-0.019931152	1.07719958	-0.02865684	-0.227188101	0.028830979
0.1575	7.099988453	1.687241278	0.113593127	0.999975766	-0.002644051	-0.000544271	0.006305862	0.073279216	-0.019591139	1.080009318	-0.033731968	-0.228418563	0.031363546
0.16	7.100171019	1.687212873	0.116301834	0.999975259	-0.002642634	-0.000874989	0.006349258	0.07384191	-0.019308723	1.082661274	-0.036298288	-0.228911788	0.035514409
0.1625	7.100352351	1.687185327	0.11901772	0.999974588	-0.002665751	-0.001201433	0.006393113	0.074399588	-0.019079961	1.085156335	-0.037526354	-0.228654287	0.041159299
0.165	7.100532516	1.687157356	0.121740466	0.999973729	-0.002705202	-0.00151816	0.006445585	0.074939045	-0.018889527	1.087496088	-0.03754362	-0.227818504	0.045366484
0.1675	7.100711627	1.687127823	0.124470763	0.999972694	-0.002749665	-0.0018206	0.006511242	0.075449197	-0.018714138	1.089683025	-0.037017341	-0.226168259	0.048366866
0.17	7.10089055	1.687096582	0.127209422	0.999971525	-0.00279021	-0.002112724	0.006587726	0.075937781	-0.018534428	1.091719387	-0.03647211	-0.223596747	0.050333389
0.1725	7.101071824	1.687064871	0.129955163	0.999970299	-0.002827839	-0.00240215	0.006661247	0.076420822	-0.018351116	1.093607944	-0.036194391	-0.220051633	0.051235472
0.175	7.101254952	1.687034221	0.132704737	0.99996902	-0.002871443	-0.002689062	0.006726974	0.076898025	-0.018183853	1.095354112	-0.035759998	-0.215452478	0.051284585
0.1775	7.101438075	1.687006016	0.135453961	0.999967676	-0.002925886	-0.002973804	0.006784592	0.077369937	-0.01804473	1.096965303	-0.034953511	-0.211653141	0.050479219
0.18	7.10161941	1.686980248	0.138200867	0.999966297	-0.002991369	-0.003254732	0.006832012	0.077833638	-0.017935688	1.098450853	-0.034183304	-0.207591307	0.048653952
0.1825	7.101797176	1.686956582	0.14094532	0.999964928	-0.003070171	-0.003524684	0.006866525	0.078274752	-0.017863146	1.09982155	-0.03463271	-0.201797433	0.04507655
0.185	7.101970227	1.686934644	0.143689839	0.999963634	-0.003155452	-0.003774978	0.006887876	0.078675896	-0.017813622	1.101088497	-0.036804803	-0.196064425	0.040978962
0.1875	7.102139787	1.686913077	0.146436688	0.999962397	-0.003233817	-0.004007837	0.006903888	0.079043355	-0.017760106	1.102260351	-0.040967129	-0.189837122	0.036378763
0.19	7.102308608	1.686891766	0.149188493	0.9999612	-0.00329722	-0.004228007	0.006918523	0.079388321	-0.0176863	1.103343893	-0.047348207	-0.182363425	0.03160659
0.1925	7.102478189	1.686871725	0.151945468	0.99995999	-0.003346642	-0.004439048	0.006937328	0.079718253	-0.01759559	1.104344559	-0.052797353	-0.176601019	0.028927916
0.195	7.102649059	1.686853534	0.154704564	0.999958727	-0.003389022	-0.004650136	0.006957633	0.080052238	-0.017502944	1.105265753	-0.057286907	-0.171900373	0.027738068
0.1975	7.102820604	1.686836788	0.157464255	0.999957412	-0.003431842	-0.004863574	0.006975013	0.080393484	-0.017423621	1.106111176	-0.060094607	-0.168122828	0.027422236
0.2	7.102992875	1.686820328	0.160224797	0.999956032	-0.003485618	-0.005073921	0.00699144	0.080727275	-0.017379722	1.106884779	-0.059954628	-0.165266367	0.027651851
0.2025	7.103165636	1.6868034	0.162987266	0.999954584	-0.00355579	-0.005273178	0.007011958	0.08103278	-0.017381766	1.107590025	-0.056228093	-0.162871793	0.028244965
0.205	7.103338603	1.686784462	0.165752709	0.999953063	-0.003634429	-0.005463343	0.007040329	0.081311277	-0.01740987	1.108228034	-0.051047418	-0.161778306	0.029035016
0.2075	7.103511544	1.686762871	0.168522221	0.999951447	-0.00371278	-0.005648613	0.007082558	0.08156873	-0.017442156	1.108798501	-0.045538851	-0.16139251	0.030316077
0.21	7.103683853	1.686738699	0.171296	0.99994972	-0.003787424	-0.005824026	0.007146899	0.081790576	-0.017468681	1.109301618	-0.040195999	-0.161161163	0.032184437
0.2125	7.103856653	1.68671275	0.174073495	0.999947903	-0.003861314	-0.005989587	0.007228066	0.081973456	-0.017492042	1.109736141	-0.036580162	-0.160653112	0.033525724
0.215	7.104030573	1.686686713	0.176854288	0.99994605	-0.003933998	-0.006146365	0.007317396	0.082116522	-0.017507552	1.110100747	-0.032375678	-0.159343732	0.034512625
0.2175	7.104206324	1.686662802	0.179637162	0.999944214	-0.003996012	-0.006302131	0.007405739	0.082234184	-0.01749149	1.110393649	-0.025664455	-0.15637567	0.035756759
0.22	7.104383795	1.686641607	0.182422458	0.999942472	-0.004038569	-0.006459178	0.007485479	0.082329159	-0.017422654	1.110614538	-0.018537114	-0.152508009	0.036833861
0.2225	7.104562117	1.686622386	0.185210953	0.999940881	-0.004059053	-0.006613125	0.007553938	0.082389967	-0.017294811	1.110764852	-0.010042408	-0.147359033	0.037483185
0.225	7.104739477	1.686604843	0.188003371	0.999939518	-0.00405588	-0.006759645	0.007606175	0.082406434	-0.017104049	1.110847181	-0.000962719	-0.141496202	0.037345327
0.2275	7.104913355	1.686588327	0.190797417	0.999938382	-0.00403042	-0.006897983	0.007642608	0.082377366	-0.016854028	1.110865074	0.007897278	-0.134801412	0.035993692
0.23	7.105082737	1.686571878	0.193588011	0.999937357	-0.003988808	-0.007040817	0.007663524	0.082332373	-0.016559234	1.110821678	0.017487962	-0.125717077	0.033585377
