%time,field.ax,field.ay,field.az,field.gx,field.gy,field.gz
1644287562684289408,-0.05000000074505806,-0.029999999329447746,0.09000000357627869,0.0625,-0.1875,0.0
1644287562700295792,-0.05999999865889549,0.0,0.07000000029802322,0.0625,-0.1875,0.0
1644287562705219974,-0.03999999910593033,-0.009999999776482582,0.05999999865889549,-0.25,-0.25,-0.0625
1644287562717248327,-0.029999999329447746,-0.029999999329447746,0.07000000029802322,0.0,0.125,0.1875
1644287562730539207,-0.05000000074505806,-0.019999999552965164,0.07000000029802322,0.0625,-0.125,0.0625
1644287562733487936,-0.03999999910593033,-0.009999999776482582,0.07000000029802322,-0.0625,-0.1875,0.1875
1644287562744448044,-0.03999999910593033,0.0,0.07999999821186066,0.0,-0.1875,0.0
1644287562753257297,-0.03999999910593033,0.0,0.03999999910593033,-0.3125,0.0,0.0
1644287562764004650,-0.03999999910593033,-0.029999999329447746,0.07000000029802322,-0.3125,0.0,0.0
1644287562773451452,-0.029999999329447746,-0.029999999329447746,0.07999999821186066,0.0,-0.0625,-0.0625
1644287562783803465,-0.03999999910593033,0.0,0.07999999821186066,0.0625,0.1875,0.0
1644287562794025019,-0.029999999329447746,-0.009999999776482582,0.07000000029802322,0.0,0.0625,-0.0625
1644287562804466411,-0.03999999910593033,-0.019999999552965164,0.07000000029802322,0.125,0.1875,-0.0625
1644287562814387373,-0.029999999329447746,-0.029999999329447746,0.09000000357627869,0.1875,0.0625,-0.0625
1644287562825113189,-0.03999999910593033,-0.019999999552965164,0.09000000357627869,0.25,0.1875,0.0
1644287562834331825,-0.03999999910593033,-0.009999999776482582,0.07000000029802322,0.1875,-0.125,0.1875
1644287562843338868,-0.029999999329447746,-0.009999999776482582,0.07000000029802322,0.1875,0.0625,0.0625
1644287562853626358,-0.029999999329447746,0.0,0.03999999910593033,0.0,0.0625,-0.0625
1644287562879929055,-0.05000000074505806,0.0,0.09000000357627869,0.0,-0.1875,0.0625
1644287562879995672,-0.029999999329447746,0.0,0.09000000357627869,0.0,-0.1875,0.0625
1644287562883575431,-0.029999999329447746,-0.009999999776482582,0.07999999821186066,-0.0625,0.0,0.0
1644287562893245341,-0.05000000074505806,0.0,0.05999999865889549,0.0625,0.0625,0.0625
1644287562903781035,-0.05000000074505806,0.0,0.07000000029802322,0.0625,0.0625,0.0625
1644287562914308837,-0.029999999329447746,-0.019999999552965164,0.07999999821186066,0.125,-0.0625,0.0
1644287562923932684,-0.029999999329447746,-0.029999999329447746,0.10000000149011612,0.1875,-0.0625,-0.0625
1644287562935836262,-0.05000000074505806,-0.009999999776482582,0.09000000357627869,0.0,-0.1875,0.125
1644287562944295760,-0.03999999910593033,-0.009999999776482582,0.07999999821186066,0.3125,0.1875,0.0625
1644287562953620286,-0.029999999329447746,0.0,0.05999999865889549,0.1875,0.1875,0.1875
1644287562964432550,-0.029999999329447746,-0.03999999910593033,0.05999999865889549,0.0625,0.1875,0.0625
1644287562973771164,-0.03999999910593033,0.0,0.07999999821186066,0.0625,-0.0625,0.0625
1644287562983726214,-0.029999999329447746,-0.009999999776482582,0.10000000149011612,0.0625,-0.125,0.125
1644287563002971634,-0.019999999552965164,-0.009999999776482582,0.05999999865889549,-0.0625,0.0,0.0
1644287563002981232,-0.03999999910593033,-0.019999999552965164,0.05000000074505806,-0.0625,-0.1875,-0.0625
1644287563014233006,-0.05000000074505806,-0.019999999552965164,0.10000000149011612,0.0625,-0.1875,0.125
1644287563023618622,-0.05000000074505806,0.0,0.05999999865889549,0.0625,0.0625,0.0625
1644287563034039622,-0.03999999910593033,-0.009999999776482582,0.09000000357627869,0.0625,0.125,0.0
1644287563051595840,-0.029999999329447746,-0.019999999552965164,0.07999999821186066,0.1875,0.0625,0.0625
1644287563053117985,-0.03999999910593033,-0.029999999329447746,0.05000000074505806,-0.0625,-0.0625,-0.0625
1644287563064583333,-0.05000000074505806,-0.019999999552965164,0.05000000074505806,0.0,0.125,-0.1875
1644287563074436477,-0.05000000074505806,-0.019999999552965164,0.07999999821186066,0.0,0.125,-0.1875
1644287563085202678,-0.029999999329447746,-0.019999999552965164,0.09000000357627869,0.0625,0.1875,-0.0625
1644287563093758376,-0.05999999865889549,-0.009999999776482582,0.09000000357627869,-0.125,0.0625,-0.0625
1644287563103253021,-0.029999999329447746,-0.019999999552965164,0.07000000029802322,0.0625,-0.0625,0.0
1644287563113538839,-0.029999999329447746,-0.019999999552965164,0.10000000149011612,-0.125,0.0625,-0.125
1644287563128317905,-0.05000000074505806,-0.009999999776482582,0.05999999865889549,0.0625,0.0,-0.0625
1644287563137782597,-0.03999999910593033,0.0,0.07999999821186066,0.0,-0.25,0.0625
1644287563151789673,-0.05000000074505806,-0.009999999776482582,0.07000000029802322,0.0,-0.25,0.0625
1644287563153247044,-0.03999999910593033,0.0,0.07000000029802322,0.0,-0.0625,-0.0625
1644287563163710845,-0.07000000029802322,-0.029999999329447746,0.07999999821186066,0.0,-0.0625,0.125
1644287563173798906,-0.029999999329447746,0.0,0.07000000029802322,0.0,-0.1875,-0.125
1644287563183573045,-0.029999999329447746,-0.009999999776482582,0.07000000029802322,0.0625,-0.0625,0.0
1644287563193228254,-0.009999999776482582,0.009999999776482582,0.07000000029802322,0.0,0.125,-0.0625
1644287563204126564,-0.029999999329447746,-0.009999999776482582,0.05000000074505806,-0.0625,-0.25,0.125
1644287563214073018,-0.029999999329447746,-0.029999999329447746,0.03999999910593033,0.1875,0.1875,0.0
1644287563223442062,-0.05999999865889549,-0.009999999776482582,0.07999999821186066,0.125,0.125,-0.0625
1644287563238238040,-0.03999999910593033,-0.029999999329447746,0.07000000029802322,-0.0625,0.0625,-0.0625
1644287563243791331,-0.029999999329447746,-0.029999999329447746,0.05999999865889549,-0.0625,-0.125,-0.0625
1644287563254409860,-0.03999999910593033,0.0,0.07999999821186066,0.1875,-0.0625,0.0625
1644287563263448306,-0.05000000074505806,-0.019999999552965164,0.07999999821186066,0.1875,0.0625,0.0
1644287563277649774,-0.05000000074505806,0.0,0.05999999865889549,0.0,0.0,-0.0625
1644287563287711743,-0.029999999329447746,0.009999999776482582,0.07999999821186066,0.0,0.0,-0.0625
1644287563292969499,-0.029999999329447746,-0.009999999776482582,0.07000000029802322,0.0,0.1875,0.0
1644287563303316349,-0.029999999329447746,-0.009999999776482582,0.07000000029802322,0.0,0.125,0.0
1644287563315630626,-0.05000000074505806,0.0,0.07999999821186066,0.125,0.125,0.0625
1644287563323434559,-0.029999999329447746,-0.009999999776482582,0.07000000029802322,0.1875,-0.0625,0.1875
1644287563340563524,-0.05000000074505806,-0.009999999776482582,0.09000000357627869,0.0,0.125,-0.0625
1644287563343535728,-0.029999999329447746,-0.019999999552965164,0.09000000357627869,0.0625,0.0,0.125
1644287563353066223,-0.05000000074505806,-0.009999999776482582,0.07000000029802322,0.0,0.0625,0.0
1644287563369210583,-0.03999999910593033,0.0,0.05999999865889549,0.0625,0.0625,0.125
1644287563373201343,-0.029999999329447746,-0.029999999329447746,0.07999999821186066,-0.0625,0.0,0.0
1644287563384100319,-0.05999999865889549,-0.029999999329447746,0.05999999865889549,0.125,-0.0625,0.0625
1644287563393692569,-0.05999999865889549,-0.019999999552965164,0.07000000029802322,0.0625,-0.0625,0.0625
1644287563403636054,-0.03999999910593033,-0.009999999776482582,0.07999999821186066,0.125,-0.125,0.0625
1644287563413706453,-0.03999999910593033,-0.019999999552965164,0.10000000149011612,0.0,0.125,-0.125
1644287563423683110,-0.029999999329447746,0.009999999776482582,0.07999999821186066,0.0,0.0625,-0.0625
1644287563433970081,-0.03999999910593033,-0.029999999329447746,0.07000000029802322,-0.125,0.0625,0.0
1644287563443594488,-0.03999999910593033,-0.009999999776482582,0.05000000074505806,0.0,-0.125,0.0
