%time,field.data
1646148405042725362,time:1646148405.0423238, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148405063010906,time:1646148405.062338, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148405082600150,time:1646148405.0821962, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148405102469804,time:1646148405.1022007, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148405122477790,time:1646148405.122151, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148405143827520,time:1646148405.142988, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148405162401361,time:1646148405.1619985, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148405186289621,time:1646148405.1852741, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148405202538263,time:1646148405.2021706, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148405222859607,time:1646148405.2223015, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148405243557790,time:1646148405.2430584, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148405263043555,time:1646148405.2626443, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148405285429400,time:1646148405.2843904, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148405304417058,time:1646148405.3038568, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148405322820199,time:1646148405.3223853, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148405343991206,time:1646148405.3432798, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148405363451419,time:1646148405.3629637, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148405383534853,time:1646148405.3830159, thrl:0.00048828125, r:-0.000518798828125, p:0.93060302734375, y:-0.005401611328125, a:0.00048828125
1646148405405588752,time:1646148405.4049969, thrl:0.00048828125, r:-0.000518798828125, p:0.885650634765625, y:-0.005401611328125, a:0.00048828125
1646148405422722186,time:1646148405.4223897, thrl:0.00048828125, r:-0.000518798828125, p:0.8348388671875, y:-0.005401611328125, a:0.00048828125
1646148405444529529,time:1646148405.4436936, thrl:0.00048828125, r:-0.000518798828125, p:0.763519287109375, y:-0.005401611328125, a:0.00048828125
