%time,field.data
1650908644127548243,time:1650908644.1271024, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644427469865,time:1650908644.4271538, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644448204358,time:1650908644.447615, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644467010786,time:1650908644.4667606, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644487810270,time:1650908644.4874792, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644507889063,time:1650908644.5075617, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644529108844,time:1650908644.5278528, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644548021876,time:1650908644.5475433, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644567731767,time:1650908644.5671756, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644587936591,time:1650908644.5875506, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644607984319,time:1650908644.6071684, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644627472736,time:1650908644.6269388, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644647897498,time:1650908644.6474714, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644667495542,time:1650908644.6668804, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644687444577,time:1650908644.686973, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644707159377,time:1650908644.7067158, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644727136143,time:1650908644.7267148, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644748353096,time:1650908644.7479405, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644767898944,time:1650908644.7675226, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644787930056,time:1650908644.7874837, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644808029830,time:1650908644.8074563, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644828021883,time:1650908644.8275416, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644848217668,time:1650908644.8478255, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644867992754,time:1650908644.8674846, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
