%time,field.data
1650909037079908799,time:1650909037.0794683, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037340088564,time:1650909037.3392828, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037359088421,time:1650909037.3587356, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037378791433,time:1650909037.3784556, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037399380058,time:1650909037.3990438, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037418876607,time:1650909037.418562, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037439788896,time:1650909037.4394605, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037459021902,time:1650909037.4586644, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037479005376,time:1650909037.478639, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037498983509,time:1650909037.4986224, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037520380696,time:1650909037.5194643, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037539245002,time:1650909037.5388935, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037561217639,time:1650909037.5596762, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037579044090,time:1650909037.5786324, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037599344742,time:1650909037.5986578, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037618780849,time:1650909037.6185343, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037639380637,time:1650909037.639044, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037658824719,time:1650909037.6585307, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037680580310,time:1650909037.6802635, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
